"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C10","2","1uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C2,C3,C4,C5,C6,C7,C8,C9,C11,C12,C17,C18,C19","13","0.1uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C13,C14","2","10uF","","","","Capacitor_SMD:C_0603_1608Metric","~"
"C15,C16","2","33pF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"D1","1","LED","","","","LED_SMD:LED_01005_0402Metric","~"
"J1","1","USB_C_Receptacle_USB2.0_14P","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2,J3","2","Conn_01x20","","","","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","~"
"J4","1","Conn_01x03","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"R1,R2","2","5.1K","","","","Resistor_SMD:R_0402_1005Metric","~"
"R3,R4","2","27","","","","Resistor_SMD:R_0402_1005Metric","~"
"R5,R6,R10","3","1K","","","","Resistor_SMD:R_0402_1005Metric","~"
"R7","1","10K","","","","Resistor_SMD:R_0402_1005Metric","~"
"R8,R9","2","4.7K","","","","Resistor_SMD:R_0402_1005Metric","~"
"SW1","1","SW_Push","","","","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","~"
"U1","1","RP2040","","","","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf"
"U2","1","MCP1700x-330xxMB","","","","Package_TO_SOT_SMD:SOT-89-3","http://ww1.microchip.com/downloads/en/DeviceDoc/20001826D.pdf"
"U3","1","W25Q128JVS","","","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","https://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf"
"U4","1","LSM6DS3","","","","Package_LGA:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y","https://www.st.com/resource/en/datasheet/lsm6ds3tr-c.pdf"
"Y1","1","12MHz Crystal","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~"
